channelId,title,publishedAt,channelTitle,categoryId,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,favoriteCount,commentCount
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO DA NOITE-03 DE FEVEREIRO @BispoBrunoLeonardo,2024-02-03T20:58:09Z,Bispo Bruno Leonardo,29,,,1619053,526861,0,467586
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO TUDO POSSO NAQUELE QUE ME FORTALECE @BispoBrunoLeonardo,2024-02-06T07:58:12Z,Bispo Bruno Leonardo,29,,,2515328,732460,0,629535
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO DA NOITE-08 DE FEVEREIRO @BispoBrunoLeonardo,2024-02-08T20:58:08Z,Bispo Bruno Leonardo,29,,,1838260,588224,0,563018
UCTcqn1bL0VNWS04_2FsIRYA,Majki - AMG (feat. Cheatz) [Official Video],2024-02-02T14:47:02Z,Majki,10,,,2,323,0,16
UCP6L9TPS3pHccVRiDB_cvqQ,"Homilia Diária | A santa que “venceu” São Bento (Memória de Santa Escolástica, Virgem)",2024-02-08T20:15:17Z,Padre Paulo Ricardo,27,pt-BR,pt-BR,0,206,0,1
UCWwZ0vM0qnr3vPHh2lgqH_w,"🔴 AO VIVO | FERIADO ANO NOVO CHINA,  BALANÇO BANCO BRASIL, INVESTIGAÇÃO PF BOLSONARO, COTAÇÃO DÓLAR",2024-02-08T22:44:03Z,TC,25,,pt-BR,40,334,0,0
UCzQTF0KVnpehdFM5gvwC2sA,GUERRA URBANA WARZONE 2.0😈ENDIABRADOS GAMES🎮SIGAM O CANAL NO YOUTUBE✔️FACEBOOCK GAMING✔️BOOYAH✔️☠️,2024-02-03T21:11:09Z,𝕰𝖓𝖉𝖎𝖆𝖇𝖗𝖆𝖉𝖔𝖘 𝕲𝖆𝖒𝖊𝖘 𝖊 𝕯𝖆𝖗𝖐,20,pt-BR,pt-BR,4,2,0,1
UCjWxeXfmtOnv1MndaSEWFew,"EVANGELHO DO DIA | 09/02/2024 | Mc 7,31-37 | @PadreManzottiOficial",2024-02-09T08:30:08Z,Padre Reginaldo Manzotti,22,,pt,29269,13003,0,638
UCjWxeXfmtOnv1MndaSEWFew,ORAÇÃO DA MANHÃ | 09/02/2024 |  @PadreManzottiOficial,2024-02-09T07:30:10Z,Padre Reginaldo Manzotti,22,,pt,46293,22293,0,1359
UCe7neKTqv4ygXRiP2lqWWIg,Oração da Manhã a luz do Salmo 91 para dissipar as trevas e vencer todo mal - 9 de Fevereiro,2024-02-09T09:35:31Z,Profeta Vinicius Iracet,22,pt-BR,pt,52452,47261,0,3978
UCfkXDY7vwkcJ8ddFGz8KusA,세븐틴(SEVENTEEN)이 전하는 2024년 설날 인사 메시지 💌,2024-02-09T03:00:03Z,SEVENTEEN,10,,en,86748,14941,0,493
UC2YnEq5Fc5_zEO6bo0oNzCQ,Melanie Martinez - FAERIE SOIRÉE (Official Music Video),2024-02-08T03:46:00Z,melanie martinez,10,,en,10,28226,0,7989
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO DA FORTÍSSIMA,2024-02-06T02:58:11Z,Bispo Bruno Leonardo,29,,,876536,317560,0,240462
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO DA NOITE-03 DE FEVEREIRO @BispoBrunoLeonardo,2024-02-03T20:58:09Z,Bispo Bruno Leonardo,29,,,1619053,526861,0,467586
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO TUDO POSSO NAQUELE QUE ME FORTALECE @BispoBrunoLeonardo,2024-02-06T07:58:12Z,Bispo Bruno Leonardo,29,,,2515328,732460,0,629535
UC-VnP-VdGUaIbssXoOhz5OQ,"""김정은 보다 못한 윤석열""... 조중동 충격!! 푸틴 언급하며 독재자 취급;;; 윤석열과 결별 움직임 포착 ㅋㅋㅋ",2024-02-09T00:57:01Z,언론 알아야 바꾼다,25,,ko,134090,13329,0,326
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO FORTÍSSIMA RECEBA A LUZ DE DEUS @BispoBrunoLeonardo,2024-02-08T07:58:10Z,Bispo Bruno Leonardo,29,,,2468032,734304,0,609433
UCVNouUw3d3l5JYVCxhAQXKA,ESSA ORAÇÃO É FORTÍSSIMA @BispoBrunoLeonardo,2024-02-04T20:58:08Z,Bispo Bruno Leonardo,29,,,1645087,532903,0,641870
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO TUDO POSSO NAQUELE QUE ME FORTALECE @BispoBrunoLeonardo,2024-02-06T07:58:12Z,Bispo Bruno Leonardo,29,,,2515328,732460,0,629535
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO DA NOITE-08 DE FEVEREIRO @BispoBrunoLeonardo,2024-02-08T20:58:08Z,Bispo Bruno Leonardo,29,,,1838260,588224,0,563018
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO FORTÍSSIMA RECEBA A LUZ DE DEUS @BispoBrunoLeonardo,2024-02-08T07:58:10Z,Bispo Bruno Leonardo,29,,,2468032,734304,0,609433
UCVNouUw3d3l5JYVCxhAQXKA,ESSA ORAÇÃO É FORTÍSSIMA @BispoBrunoLeonardo,2024-02-04T20:58:08Z,Bispo Bruno Leonardo,29,,,1645087,532903,0,641870
UCbmVlqWD6lqn1Ur1Zv25IIg,Impossível de passar pano - LULA esculacha as mulheres em discurso esvaziado,2024-02-07T21:21:50Z,Gustavo Gayer Deputado Federal,25,,pt,303118,57078,0,4731
UCBpwS_TPjdLt_FLgl0ZtZAg,Sexta-Feira: Mistérios Dolorosos | Terço Mariano com @PadreManzottiOficial | 09/02/24,2024-02-09T09:00:30Z,TV Evangelizar,24,pt,pt,5167,1448,0,136
UC3-JLGJpMKwymQoRFJMkgSg,B0LSONARO RECEBE NOTÍCIA DE PRlSÃO E CAI EM DESESPERO!! PF CONSEGUIU A PROVA-CHAVE!! DECISÃO TOMADA,2024-02-09T10:15:01Z,Plantão Brasil,25,,pt-BR,19772,9646,0,526
UCWkaQBuWlLoRSPP2311ERSA,10 promessas bíblicas para aqueles que obedecem a Deus | Café com Destino,2024-02-09T10:57:07Z,Tiago Brunet,27,,pt,2363,3683,0,571
UCU7uY3wCPh9j39KXzOpqNaw,ALARGANDO ATRÁS E REVELANDO O SHAPE PARA FELIPE FRANCO!! ( ͡° ͜ʖ ͡°) **NOVO PROJETO**,2024-02-06T21:22:34Z,Julio Cocielo,24,,,686950,95891,0,1556
UC9Wd6xzfxb0EDJfVOlMDpwQ,O episódio mais SAFADO de INVENCÍVEL | Hamlet 💀,2024-02-04T15:00:39Z,Hamlet Segundo,24,,,30309,5039,0,69
UCKEM87jzVqdIfAdTr0xNBfA,ORAÇÃO DA MANHÃ DE HOJE 07/02 - Faça seu Pedido de Oração,2024-02-07T08:00:02Z,Pastor Antônio Júnior,22,pt-BR,pt-BR,358714,85954,0,17347
UCm_nEAH7DCfjmXUbNkN6JFw,Santo Rosário | Novena de Lourdes - 7º Dia  - 08/02 | Instituto Hesed,2024-02-08T10:07:08Z,Ir Kelly Patricia OFICIAL / Instituto Hesed,10,,pt-BR,303160,70523,0,1023
UCpf5YXmzGHC4m5uLCdlrrfA,Pedro Henrique | Só Tu És Santo [Lyric Oficial],2024-02-06T15:00:10Z,Todah Music Oficial,10,,pt-BR,445673,48514,0,2497
UCYzp8-P162Em-3uZnCuGJOg,PULA PULA TIRO TIRO! - Esquadrão Suicida,2024-02-07T22:00:12Z,Games EduUu,20,,,420555,72752,0,2633
UCNMHZujkcJXErDXhLSGNVdA,Não será o fim | Deive Leonardo,2024-02-05T10:00:12Z,Deive Leonardo,24,,pt-BR,646479,117877,0,3383
UCzUjeR-Wgr0_iyL_brgx3Fw,YOU'RE VALID,2024-02-08T15:54:57Z,ShxtsnGigs Podcast,23,,en-GB,199528,27391,0,71
UCNMHZujkcJXErDXhLSGNVdA,Não será o fim | Deive Leonardo,2024-02-05T10:00:12Z,Deive Leonardo,24,,pt-BR,646479,117877,0,3383
UCY5QKzOaiJa-ERAcqBH_gBw,Calcinha Preta - E o Vento Levou #ATEMPORAL (Ao vivo em Salvador),2024-02-05T15:00:25Z,Calcinha Preta,10,,pt-BR,654302,14992,0,2238
UC2FLKWRbH1z14OH7jKWNNsQ,VOU FAZER UM KART DE FERRO!,2024-02-07T20:00:00Z,Henry Gonçalves,24,,,27259,2472,0,219
UCsiCOcr5SZAWlJMfcw9P__w,Golden State Warriors x Brooklyn Nets | AO VIVO COM IMAGENS EM PORTUGUÊS,2024-02-06T03:16:59Z,NBA Brasil,17,,en,638874,64877,0,16
UCitie-To0pWGe5Qyk9SjWRA,Bolsonaro lota Rua da Praia em São Sebastião - Alexandre Garcia,2024-02-07T23:50:05Z,Alexandre Garcia,25,,pt,395079,89200,0,3696
UCw5-xj3AKqEizC7MvHaIPqA,Jordânia ELIMINA Coreia do Sul de Son na semifinal em CLASSIFICAÇÃO HISTÓRICA na Copa da Ásia,2024-02-06T17:29:05Z,ESPN Brasil,17,pt-BR,pt-BR,122836,4931,0,409
UCKHhA5hN2UohhFDfNXB_cvQ,Como é feito um CARTÃO de CRÉDITO #Boravê,2024-02-06T20:00:25Z,Manual do Mundo,28,pt,pt-BR,411389,39539,0,646
